name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"bytes","bytes_per_entry"
"BM_Insert<StdUnorderedMapAdapter<0.9>>/512",50147,13757.6,13710.6,ns,,,,,,23552,46
"BM_Insert<StdUnorderedMapAdapter<0.9>>/4096",6604,108821,107329,ns,,,,,,196608,48
"BM_Insert<StdUnorderedMapAdapter<0.9>>/32768",828,852832,850581,ns,,,,,,1.47456e+06,45
"BM_Insert<StdUnorderedMapAdapter<0.9>>/65536",407,1.73244e+06,1.72808e+06,ns,,,,,,2.93274e+06,44.75
"BM_FindHit<ChainingHashMap<0.5>>/256",3506786,202.332,201.617,ns,,,,,,16384,64
"BM_FindHit<ChainingHashMap<0.5>>/512",1769540,394.905,394.295,ns,,,,,,32768,64
"BM_FindHit<ChainingHashMap<0.5>>/4096",199453,3286.65,3286.48,ns,,,,,,262144,64
"BM_FindHit<ChainingHashMap<0.5>>/32768",27197,25142.6,25141.2,ns,,,,,,2.09715e+06,64
"BM_FindHit<ChainingHashMap<0.5>>/65536",13970,50098,50096.9,ns,,,,,,4.1943e+06,64
"BM_FindHit<LinearProbingHashMap<0.5>>/256",3785789,184.813,184.807,ns,,,,,,4608,18
"BM_FindHit<LinearProbingHashMap<0.5>>/512",1918103,365.061,365.057,ns,,,,,,9216,18
"BM_FindHit<LinearProbingHashMap<0.5>>/4096",242418,2888.65,2887.88,ns,,,,,,73728,18
"BM_FindHit<LinearProbingHashMap<0.5>>/32768",30350,23059.8,23059.3,ns,,,,,,589824,18
"BM_FindHit<LinearProbingHashMap<0.5>>/65536",15168,46624.6,46549.6,ns,,,,,,1.17965e+06,18
"BM_FindHit<RobinHoodHashMap<0.5>>/256",3293436,203.103,203.101,ns,,,,,,4160,16.25
"BM_FindHit<RobinHoodHashMap<0.5>>/512",1735866,408.586,407.864,ns,,,,,,8320,16.25
"BM_FindHit<RobinHoodHashMap<0.5>>/4096",206210,3178.41,3178.37,ns,,,,,,66560,16.25
"BM_FindHit<RobinHoodHashMap<0.5>>/32768",25789,25696.8,25696.1,ns,,,,,,532480,16.25
"BM_FindHit<RobinHoodHashMap<0.5>>/65536",13125,52113.3,52112.7,ns,,,,,,1.06496e+06,16.25
"BM_FindHit<StdUnorderedMapAdapter<0.5>>/256",1541012,454.557,454.545,ns,,,,,,15360,60
"BM_FindHit<StdUnorderedMapAdapter<0.5>>/512",773626,831.151,831.142,ns,,,,,,30720,60
"BM_FindHit<StdUnorderedMapAdapter<0.5>>/4096",113089,6859,6858.84,ns,,,,,,245760,60
"BM_FindHit<StdUnorderedMapAdapter<0.5>>/32768",10000,52185,52184.1,ns,,,,,,1.88416e+06,57.5
"BM_FindHit<StdUnorderedMapAdapter<0.5>>/65536",6059,115308,115306,ns,,,,,,3.75194e+06,57.25
"BM_FindHit<ChainingHashMap<0.75>>/256",3564100,199.68,199.678,ns,,,,,,16384,64
"BM_FindHit<ChainingHashMap<0.75>>/512",1784021,392.129,392.124,ns,,,,,,32768,64
"BM_FindHit<ChainingHashMap<0.75>>/4096",182315,4089.71,4089.62,ns,,,,,,262144,64
"BM_FindHit<ChainingHashMap<0.75>>/32768",27931,25394.5,25362.9,ns,,,,,,2.09715e+06,64
"BM_FindHit<ChainingHashMap<0.75>>/65536",13764,50504.2,50458.8,ns,,,,,,4.1943e+06,64
"BM_FindHit<LinearProbingHashMap<0.75>>/256",3773381,185.761,185.539,ns,,,,,,4608,18
"BM_FindHit<LinearProbingHashMap<0.75>>/512",1913143,366.548,366.227,ns,,,,,,9216,18
"BM_FindHit<LinearProbingHashMap<0.75>>/4096",241942,2900.93,2897.34,ns,,,,,,73728,18
"BM_FindHit<LinearProbingHashMap<0.75>>/32768",30215,23250.7,23232.9,ns,,,,,,589824,18
"BM_FindHit<LinearProbingHashMap<0.75>>/65536",15312,45434.9,45434.1,ns,,,,,,1.17965e+06,18
