name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertSparse<PtrTrie>/4096",166,4.21015e+06,4.20849e+06,ns,,,,,
"BM_InsertSparse<PtrTrie>/32768",23,3.02042e+07,3.02032e+07,ns,,,,,
"BM_InsertSparse<PtrTrie>/65536",12,5.89329e+07,5.89043e+07,ns,,,,,
"BM_SearchHitDense<PtrTrie>/256",34529,20257.7,20257.5,ns,,,,,
"BM_SearchHitDense<PtrTrie>/512",16690,41633.7,41632.9,ns,,,,,
"BM_SearchHitDense<PtrTrie>/4096",2154,331646,331641,ns,,,,,
"BM_SearchHitDense<PtrTrie>/32768",261,2.69321e+06,2.69315e+06,ns,,,,,
"BM_SearchHitDense<PtrTrie>/65536",95,6.81597e+06,6.81576e+06,ns,,,,,
"BM_SearchMiss<PtrTrie>/256",91481,7660.21,7660.04,ns,,,,,
"BM_SearchMiss<PtrTrie>/512",46066,15330.6,15329.3,ns,,,,,
"BM_SearchMiss<PtrTrie>/4096",5748,122355,122350,ns,,,,,
"BM_SearchMiss<PtrTrie>/32768",718,977605,976861,ns,,,,,
"BM_SearchMiss<PtrTrie>/65536",358,1.94937e+06,1.94861e+06,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/256",731682,955.633,955.595,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/512",730514,958.392,958.383,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/4096",185345,3752.14,3752.06,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/32768",43362,16085.7,16085.5,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaSentinel>/65536",24228,28900,28899.2,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/256",729782,959.049,958.747,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/512",733776,959.003,958.778,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/4096",185861,3763.37,3763.3,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/32768",43385,16225.6,16224,ns,,,,,
"BM_GetWordsWithPrefix<IndexArenaZeroNull>/65536",23957,29421.8,29402.3,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/256",790050,899.157,895.383,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/512",795355,906.106,905.073,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/4096",198007,3629.48,3602.42,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/32768",46752,14643.6,14643.1,ns,,,,,
"BM_GetWordsWithPrefix<DequeArenaTrie>/65536",26723,26055.9,26055.4,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/256",752065,926.052,926.034,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/512",754294,926.676,926.665,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/4096",193745,3607.4,3607.32,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/32768",45557,15353.4,15353,ns,,,,,
"BM_GetWordsWithPrefix<PtrTrie>/65536",25404,27585.3,27584.7,ns,,,,,
